board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
kilter,30,hello is it me your looking for?,2022-06-09 00:03:17,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,30,Oodles of Boodles,2022-06-09 00:06:31,6a+/V3,6a+/V3,False,1,False,1,1,False,True,
kilter,30,benchmark,2022-06-09 00:12:18,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,30,dumpling sauce (spicy),2022-06-09 00:17:26,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,40,Elephant Trunk,2022-06-12 01:44:43,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,40,You Don’t Know Me,2022-06-12 01:49:09,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,40,Floats Your Boat,2022-06-12 01:50:41,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,40,Oodles of Boodles,2022-06-12 01:52:38,6c/V5,6c/V5,False,1,False,2,2,True,True,
kilter,40,hussle & motivate,2022-06-12 02:33:29,7a/V6,7a/V6,False,2,False,1,2,False,True,
kilter,40,A-Tension,2022-06-12 03:02:44,7a+/V7,7a+/V7,False,3,False,1,3,False,True,End of sessions
kilter,35,A-Tension,2022-06-16 00:52:06,7a/V6,7a/V6,False,1,False,2,4,True,True,
kilter,20,warm meh 2,2022-06-20 00:49:13,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,20,Norm!,2022-06-20 00:49:20,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,Taco Bell,2022-06-20 00:51:03,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,20,wizard of odd,2022-06-20 00:52:32,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,20,DozMov C,2022-06-20 01:05:46,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,swooped,2022-06-20 01:12:03,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,Cheers!!,2022-06-20 01:15:15,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,ford focus,2022-06-20 01:18:33,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,P'tite V4,2022-06-20 01:21:26,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,Mike's Harder Lemonade,2022-06-20 01:24:46,6a+/V3,6a+/V3,False,1,False,1,1,False,True,
kilter,20,P'tite V4,2022-06-20 01:27:52,5c/V2,5c/V2,False,1,False,1,2,True,True,
kilter,20,Fun ride,2022-06-20 01:30:10,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,SNZN Ramen,2022-06-26 01:37:10,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,30,P'tite V4,2022-06-28 00:19:11,6a/V3,6a/V3,False,1,False,2,3,True,True,
kilter,30,swooped,2022-06-28 00:20:52,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,30,benchmark,2022-06-28 00:37:57,6c/V5,6c/V5,False,3,False,2,4,True,True,Working on this as first set triple boulder at 30d
kilter,30,dumpling sauce (spicy),2022-06-28 00:52:36,6c/V5,6c/V5,False,1,False,2,2,True,True,Triple boulder on 30
kilter,30,swooped,2022-06-28 01:00:16,6b/V4,6b/V4,False,1,False,2,3,True,True,
kilter,35,P'tite V4,2022-06-28 01:06:56,6a/V3,6a/V3,False,1,False,2,4,True,True,
kilter,25,warm meh 2,2022-07-05 02:07:02,5a/V1,5a/V1,False,1,False,2,2,True,True,
kilter,25,jumbo mumbo,2022-07-05 02:08:13,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,25,Floats Your Boat,2022-07-05 02:08:19,4b/V0,4b/V0,False,1,False,2,2,True,True,
kilter,25,Criss-Cross,2022-07-05 02:08:26,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,25,Centurion,2022-07-05 02:08:32,4b/V0,4b/V0,False,1,False,1,1,False,True,
kilter,25,Ain’t hood if there’s a Whole Foods,2022-07-05 02:08:39,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,25,Sure 2,2022-07-05 02:08:52,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,25,Tumble Weed,2022-07-05 02:08:59,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,25,Easy Living,2022-07-05 02:09:10,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,25,Kindergarten Variety,2022-07-05 02:09:16,4a/V0,4a/V0,False,1,False,1,1,False,True,
kilter,25,warm up #0,2022-07-05 02:09:23,4c/V0,4c/V0,False,1,False,1,1,False,True,
kilter,25,Watermelon Gummies,2022-07-05 02:09:29,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,25,Lack of Faith,2022-07-10 01:31:43,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,25,lil whiskers,2022-07-10 01:33:35,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,25,swooped,2022-07-10 01:35:09,5a/V1,5a/V1,False,1,False,3,4,True,True,
kilter,20,DozMov C,2022-07-12 00:27:25,5c/V2,5c/V2,False,1,False,2,2,True,True,
kilter,20,P'tite V4,2022-07-12 00:30:38,5c/V2,5c/V2,False,1,False,3,5,True,True,
kilter,20,swooped,2022-07-12 00:32:41,5b/V1,5b/V1,False,1,False,4,5,True,True,
kilter,20,Cheers!!,2022-07-12 00:35:44,4c/V0,4c/V0,False,1,False,2,2,True,True,
kilter,25,ford focus,2022-07-12 00:40:34,5c/V2,5c/V2,False,1,False,2,2,True,True,
