board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,20,yellowbagger,2020-02-14 09:11:33,6b/V4,6c+/V5,True,1,False,1,1,False,True,
tension,20,Goo Lagoon,2020-02-16 08:32:39,6b/V4,6b/V4,True,1,False,1,1,False,True,
tension,20,Soap Opera,2020-02-16 10:32:07,6b/V4,6c+/V5,True,1,False,1,1,False,True,
tension,20,Whoppin’ V1,2020-02-27 05:45:49,4a/V0,4a/V0,False,1,True,1,1,False,True,
tension,20,Whoppin’ V1,2020-02-27 05:50:02,4a/V0,4a/V0,False,1,True,1,2,True,True,
tension,20,Bethany,2020-02-27 05:52:55,4a/V0,4b/V0,False,1,False,1,1,False,True,
tension,20,crimpers,2020-02-27 05:59:24,5a/V1,5c/V2,True,1,False,1,1,False,True,
tension,20,crimpers,2020-02-27 05:59:44,5a/V1,5c/V2,True,1,False,1,2,True,True,
tension,20,Cats are better than dogs,2020-02-27 06:06:29,5c/V2,5c/V2,False,1,False,1,1,False,True,
tension,20,Fear Not Of Man,2020-02-27 06:16:24,6b/V4,6b/V4,True,1,False,1,1,False,True,
tension,20,Margarita Sweet,2020-02-27 06:24:38,6b/V4,6b/V4,False,1,False,1,1,False,True,
tension,20,Pre-game,2020-02-29 07:54:54,4a/V0,4a/V0,False,1,True,1,1,False,True,
tension,30,Sendin’ the Gnar,2020-02-29 07:57:23,4a/V0,5a/V1,False,1,False,1,1,False,True,
tension,30,Dull Scissors,2020-02-29 08:00:14,5c/V2,6a/V3,True,1,False,1,1,False,True,
tension,30,Dull Scissors,2020-02-29 08:03:03,5c/V2,6a/V3,True,1,True,1,1,False,True,
tension,30,compass trailblazers,2020-02-29 08:08:10,6a/V3,6a/V3,False,1,True,1,1,False,True,
tension,40,hi there 3,2021-04-05 10:42:45,6a/V3,6a+/V3,True,1,False,1,1,False,True,
tension,40,hi there 3,2021-04-05 14:51:14,6a/V3,6a+/V3,True,1,True,1,1,False,True,
tension,40,whooosh ++,2021-04-06 09:25:42,6b/V4,6b/V4,False,1,False,1,1,False,True,
tension,40,to short for reach,2021-04-17 14:36:44,5c/V2,5c/V2,False,1,False,1,1,False,True,
tension,40,to short for reach,2021-04-17 14:36:58,5c/V2,5c/V2,False,1,True,1,1,False,True,
tension,40,grab by the balls,2021-04-17 14:39:51,6c/V5,6c/V5,False,1,False,1,1,False,True,
tension,40,grab by the balls,2021-04-17 14:40:03,6c/V5,6c/V5,False,1,True,1,1,False,True,
tension,40,on-sight plus,2021-04-17 14:40:31,6c/V5,6c/V5,True,1,False,1,1,False,True,
tension,40,on-sight plus,2021-04-17 14:40:45,6c/V5,6c/V5,True,1,True,1,1,False,True,
tension,40,enduring #1,2021-04-17 14:41:31,5a/V1,6a/V3,False,1,False,1,1,False,True,
tension,40,enduring #1,2021-04-17 14:41:51,5c/V2,6a/V3,False,1,True,1,1,False,True,
tension,40,Holler,2021-05-14 15:50:01,5c/V2,6a/V3,True,1,False,1,1,False,True,
tension,40,Holler,2021-05-14 15:51:46,5c/V2,6a/V3,True,1,True,1,1,False,True,
tension,40,Jiggles,2021-05-14 15:54:54,6a/V3,6b/V4,True,1,False,1,1,False,True,
tension,40,Shimmy,2021-05-17 13:02:22,6a/V3,6c/V5,True,1,False,1,1,False,True,
tension,40,Intro To Power,2021-05-17 13:03:02,6b/V4,6b/V4,True,1,False,1,1,False,True,
tension,40,the warmup,2021-05-17 13:05:11,5c/V2,5c/V2,True,1,False,1,1,False,True,
tension,40,the warmup,2021-05-17 13:06:48,5c/V2,5c/V2,True,1,True,1,1,False,True,
tension,40,My First Rodeo,2021-05-17 13:36:19,7a/V6,7a/V6,True,1,False,1,1,False,True,
tension,40,Fat Banana,2021-05-19 12:53:41,7a/V6,7a/V6,True,1,False,1,1,False,True,
tension,40,It's Alive!,2021-06-03 06:05:22,5a/V1,5b/V1,True,1,False,1,1,False,True,
tension,40,It's Alive!,2021-06-03 06:07:08,5a/V1,5b/V1,True,1,True,1,1,False,True,
tension,40,the speedy sloth,2021-06-03 06:09:07,5c/V2,6a/V3,False,1,False,1,1,False,True,
tension,40,the speedy sloth,2021-06-03 06:12:43,5c/V2,6a/V3,False,1,True,1,1,False,True,
tension,40,Gaston to Gaston,2021-06-12 08:33:54,6a/V3,6a/V3,True,1,False,1,1,False,True,
tension,40,Gaston to Gaston,2021-06-12 08:35:03,6a/V3,6a/V3,True,1,True,1,1,False,True,
tension,45,ty24,2021-07-05 14:59:04,5b/V1,5b/V1,False,1,False,1,1,False,True,
tension,45,ty24,2021-07-05 15:00:01,5b/V1,5b/V1,False,1,True,1,1,False,True,
tension,45,shift weight,2021-07-05 15:03:10,5c/V2,5c/V2,False,3,True,1,3,False,True,
tension,45,Pre-game,2021-07-06 10:16:33,5a/V1,4c/V0,True,1,False,1,1,False,True,
tension,45,Pre-game,2021-07-06 10:17:05,5a/V1,4c/V0,True,1,True,1,1,False,True,
tension,45,Dull Scissors,2021-07-06 11:11:39,6a/V3,6a/V3,True,1,False,1,1,False,True,
tension,45,on-sight plus,2021-07-06 11:12:38,6c+/V5,6c+/V5,True,1,False,1,1,False,True,
tension,45,on-sight plus,2021-07-06 11:12:43,6c+/V5,6c+/V5,True,1,False,1,2,True,True,
tension,45,Matchbook,2021-07-06 11:13:27,5c/V2,5c/V2,True,1,False,1,1,False,True,
tension,45,Matchbook,2021-07-06 11:13:37,5c/V2,5c/V2,True,1,True,1,1,False,True,
tension,45,gustavs 5b,2021-07-09 08:31:55,5c/V2,5c/V2,False,1,False,1,1,False,True,
tension,45,gustavs 5b,2021-07-09 08:36:13,5c/V2,5c/V2,False,2,True,1,2,False,True,
tension,45,Sierra Dawn,2021-07-09 08:47:29,5b/V1,5b/V1,False,2,True,1,2,False,True,
tension,45,Bumble,2021-07-09 08:57:00,6a/V3,6b/V4,False,2,True,1,2,False,True,
tension,50,Bumble,2021-07-09 09:20:03,6b/V4,6a+/V3,False,2,True,1,2,False,True,
tension,50,Bumble,2021-07-09 09:20:11,6b/V4,6a+/V3,False,1,False,1,1,False,True,
tension,50,Bumble,2021-07-09 09:20:23,6a/V3,6a+/V3,False,1,False,1,2,True,True,
tension,50,Bumble,2021-07-09 09:20:36,6a/V3,6a+/V3,False,1,True,1,3,True,True,
tension,45,Bumble,2021-07-09 09:20:55,6a/V3,6b/V4,False,1,False,1,1,False,True,
tension,40,Legion,2021-07-11 11:22:10,6c/V5,6c/V5,True,2,False,1,2,False,True,
tension,40,Legion,2021-07-11 11:22:17,6c/V5,6c/V5,True,2,False,1,4,True,True,
tension,40,Legion,2021-07-11 11:22:18,6c/V5,6c/V5,True,2,False,1,6,True,True,
tension,40,Legion,2021-07-11 11:23:06,6c/V5,6c/V5,True,2,False,1,8,True,True,
tension,40,Legion,2021-07-11 11:23:07,6c/V5,6c/V5,True,2,False,1,10,True,True,
